Professions,Age,Sex,Initial Country of Qualifications,Year,Number of Practitioners
ATSI Health Practitioners,20-34,Male,Not stated,2013 ,8
ATSI Health Practitioners,20-34,Female,Not stated,2013 ,30
ATSI Health Practitioners,35-44,Male,Not stated,2013 ,33
ATSI Health Practitioners,35-44,Female,Not stated,2013 ,59
ATSI Health Practitioners,45-54,Male,Not stated,2013 ,22
ATSI Health Practitioners,45-54,Female,Not stated,2013 ,65
ATSI Health Practitioners,55-64,Male,Not stated,2013 ,6
ATSI Health Practitioners,55-64,Female,Not stated,2013 ,38
ATSI Health Practitioners,65-74,Male,Not stated,2013 ,3
ATSI Health Practitioners,65-74,Female,Not stated,2013 ,5
ATSI Health Practitioners,75-99,Male,Not stated,2013 ,3
Chiropractors,20-34,Male,Australia,2013 ,640
Chiropractors,20-34,Male,New Zealand,2013 ,36
Chiropractors,20-34,Male,Other overseas,2013 ,18
Chiropractors,20-34,Male,Not stated,2013 ,80
Chiropractors,20-34,Female,Australia,2013 ,599
Chiropractors,20-34,Female,New Zealand,2013 ,29
Chiropractors,20-34,Female,Other overseas,2013 ,25
Chiropractors,20-34,Female,Not stated,2013 ,72
Chiropractors,35-44,Male,Australia,2013 ,676
Chiropractors,35-44,Male,New Zealand,2013 ,12
Chiropractors,35-44,Male,Other overseas,2013 ,88
Chiropractors,35-44,Male,Not stated,2013 ,24
Chiropractors,35-44,Female,Australia,2013 ,396
Chiropractors,35-44,Female,New Zealand,2013 ,7
Chiropractors,35-44,Female,Other overseas,2013 ,43
Chiropractors,35-44,Female,Not stated,2013 ,15
Chiropractors,45-54,Male,Australia,2013 ,466
Chiropractors,45-54,Male,New Zealand,2013 ,3
Chiropractors,45-54,Male,Other overseas,2013 ,79
Chiropractors,45-54,Male,Not stated,2013 ,13
Chiropractors,45-54,Female,Australia,2013 ,184
Chiropractors,45-54,Female,New Zealand,2013 ,4
Chiropractors,45-54,Female,Other overseas,2013 ,33
Chiropractors,45-54,Female,Not stated,2013 ,5
Chiropractors,55-64,Male,Australia,2013 ,264
Chiropractors,55-64,Male,New Zealand,2013 ,0
Chiropractors,55-64,Male,Other overseas,2013 ,99
Chiropractors,55-64,Male,Not stated,2013 ,15
Chiropractors,55-64,Female,Australia,2013 ,45
Chiropractors,55-64,Female,New Zealand,2013 ,0
Chiropractors,55-64,Female,Other overseas,2013 ,14
Chiropractors,55-64,Female,Not stated,2013 ,3
Chiropractors,65-74,Male,Australia,2013 ,86
Chiropractors,65-74,Male,Other overseas,2013 ,62
Chiropractors,65-74,Male,Not stated,2013 ,7
Chiropractors,65-74,Female,Australia,2013 ,8
Chiropractors,65-74,Female,New Zealand,2013 ,0
Chiropractors,65-74,Female,Other overseas,2013 ,4
Chiropractors,75-99,Male,Australia,2013 ,11
Chiropractors,75-99,Male,New Zealand,2013 ,0
Chiropractors,75-99,Male,Other overseas,2013 ,14
Chiropractors,75-99,Male,Not stated,2013 ,0
Chiropractors,75-99,Female,Australia,2013 ,3
Chiropractors,75-99,Female,Other overseas,2013 ,0
Chinese Medicine Practitioners,20-34,Male,Australia,2013 ,156
Chinese Medicine Practitioners,20-34,Male,New Zealand,2013 ,0
Chinese Medicine Practitioners,20-34,Male,Other overseas,2013 ,29
Chinese Medicine Practitioners,20-34,Male,Not stated,2013 ,24
Chinese Medicine Practitioners,20-34,Female,Australia,2013 ,287
Chinese Medicine Practitioners,20-34,Female,New Zealand,2013 ,0
Chinese Medicine Practitioners,20-34,Female,Other overseas,2013 ,34
Chinese Medicine Practitioners,20-34,Female,Not stated,2013 ,30
Chinese Medicine Practitioners,35-44,Male,Australia,2013 ,297
Chinese Medicine Practitioners,35-44,Male,New Zealand,2013 ,0
Chinese Medicine Practitioners,35-44,Male,Other overseas,2013 ,114
Chinese Medicine Practitioners,35-44,Male,Not stated,2013 ,25
Chinese Medicine Practitioners,35-44,Female,Australia,2013 ,418
Chinese Medicine Practitioners,35-44,Female,New Zealand,2013 ,3
Chinese Medicine Practitioners,35-44,Female,Other overseas,2013 ,109
Chinese Medicine Practitioners,35-44,Female,Not stated,2013 ,36
Chinese Medicine Practitioners,45-54,Male,Australia,2013 ,294
Chinese Medicine Practitioners,45-54,Male,New Zealand,2013 ,4
Chinese Medicine Practitioners,45-54,Male,Other overseas,2013 ,175
Chinese Medicine Practitioners,45-54,Male,Not stated,2013 ,37
Chinese Medicine Practitioners,45-54,Female,Australia,2013 ,318
Chinese Medicine Practitioners,45-54,Female,New Zealand,2013 ,3
Chinese Medicine Practitioners,45-54,Female,Other overseas,2013 ,168
Chinese Medicine Practitioners,45-54,Female,Not stated,2013 ,31
Chinese Medicine Practitioners,55-64,Male,Australia,2013 ,247
Chinese Medicine Practitioners,55-64,Male,New Zealand,2013 ,3
Chinese Medicine Practitioners,55-64,Male,Other overseas,2013 ,157
Chinese Medicine Practitioners,55-64,Male,Not stated,2013 ,26
Chinese Medicine Practitioners,55-64,Female,Australia,2013 ,247
Chinese Medicine Practitioners,55-64,Female,New Zealand,2013 ,0
Chinese Medicine Practitioners,55-64,Female,Other overseas,2013 ,115
Chinese Medicine Practitioners,55-64,Female,Not stated,2013 ,29
Chinese Medicine Practitioners,65-74,Male,Australia,2013 ,68
Chinese Medicine Practitioners,65-74,Male,New Zealand,2013 ,3
